Name,Price/Count,27-08-2021 16:30,27-08-2021 16:37:41,27-08-2021 16:39:11,27-08-2021 16:39:32,27-08-2021 16:52:41,27-08-2021 16:53:11,27-08-2021 16:56:00,27-08-2021 16:56:23,27-08-2021 16:57:54,27-08-2021 16:58:55,27-08-2021 16:59:00,27-08-2021 16:59:53,27-08-2021 17:00:39,27-08-2021 17:10:01,27-08-2021 17:11:47,27-08-2021 17:11:52,27-08-2021 17:12:56,27-08-2021 17:16:13,27-08-2021 17:16:42,27-08-2021 17:17:24,27-08-2021 17:18:30,27-08-2021 17:20:58,27-08-2021 17:21:07,
10A10. Диод 10А 1000В [P-600],Price,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
,Count,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6411.0,6411.0,6411.0,6411.0,6411.0,6411.0,6411.0,6411.0,6411.0,6411.0,
1N4001. Диод выпрямительный 1А 50В [DO-41],Price,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
,Count,41361.0,41361.0,41361.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,41331.0,
B82747E6353A040. 3x 0.57 мГн. 35 А. Дроссель силовой,Price,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,
,Count,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,
